"Product title","Net sales","Gross sales","Orders","Quantity ordered"
"Ashwagandha Coffee Refill",254325.54,265627.81,8627,8664
"Ashwagandha Coffee",225902.525,236701.565,6476,6609
"Ashwagandha Coffee Starter Kit (1 Pack + 6 FREE Gifts worth £40)",192843.75,194875.81,6607,6618
"Ashwagandha Coffee (3 Packs)",40402.88,42470.87,556,565
"Ashwagandha Coffee (3 Packs) - 120 Servings",16700.59,16720.06,293,294
"Ashwagandha Coffee Starter Kit (1 Pack + 6 FREE Gifts worth £40 Included)",15819.48,17165.03,609,617
"Ashwagandha Coffee 3 Packs (2+1 Free Pack + 7 FREE Gifts worth £55)",13134.91,28890.09,279,279
"Ashwagandha Coffee 6 Packs (3+3 Free Packs + 8 FREE Gifts worth £70)",10908.65,29630.93,160,162
"Ashwagandha Coffee, 40 Servings (1 Pack + 6 FREE Gifts worth £40)",10491.8,11447.91,409,409
"Turmeric Ashwagandha Herbal Tea Tisane - 100 Count",4100.44,7104.339,300,310
,2650.846,2846.206,67,79
"Turmeric Ginger Herbal Tea Tisane, 100 Teabags",2230.003,3829.728,173,182
"Ashwagandha Coffee (Pack of 1)",1976.39,2148.67,90,90
"36 Tea Bags, Caffeine Free, 6 Flavors - Chamomile, Hibiscus, Ginger, Mint, Turmeric",1914.86,4428.55,461,465
"Ashwagandha Coffee 2 Packs (FLAT 40% OFF + 7 FREE Gifts worth £50)",1669.803,2739.685,44,45
"Premium Electric Frother",1475.6,65928.03,2683,2686
"India's Original Masala Chai Tea, 12oz/340g",1371.56,1934.54,82,114
"English Breakfast Black Tea, 12oz/340g",1158.561,1177.367,55,71
"Darjeeling Premium First Flush Black Tea, 3.53oz/100g",886.027,925.574,45,75
"Hibiscus Rose Herbal Tea Tisane, 100 Count",866.656,891.496,37,49
"Ashwagandha Coffee, 120 Servings (3 Packs + 8 FREE Gifts worth £70)",716.89,779.87,13,13
"Green Balance 500mg 60 Capsules",703.77,703.77,22,23
"Turmeric Ginger Herbal Tea Tisane, 100g",700.7,715.22,56,78
"Himalayan Green Tea, 340g",634.08,649.83,31,42
"Ashwagandha Coffee 4 Packs (2+2 Free Packs + 8 FREE Gifts worth £70)",615.33,1114.9,10,10
"Pure Matcha Green Tea Powder, Culinary Grade, 100g",610.78,1372.93,49,54
"India's Original Masala Chai Tea, 100 Count",609.034,653.084,30,36
"Chai Tea Assortment Christmas Tea Gift, Set of 12",583.45,659.22,20,28
"Double Spice Masala Chai Tea, 7.06oz/200g",566.804,592.114,34,43
"Vanilla Matcha Green Tea Powder, 3.53oz/100g",562.642,593.977,45,55
"Turmeric Curcumin 1800mg with Boswellia & Piperine - 60 Day Supply",559.86,559.86,14,14
"Assorted Tea Private Reserve, Gift Set, 24 Teas",491.243,785.773,22,22
"Turmeric Spiced Herbal Tea Tisane, 100 Count",481.135,487.133,22,26
"Imperial Muscatel Darjeeling Second Flush Black, 3.53oz/100g",477.214,493.505,26,36
"Ginger Mint Loose Leaves, 7.05oz/200g",461.88,958,54,55
"Chai Tea Assortment Gift Set, 6 Variants",441.81,464.43,27,32
"Applause CTC Assam Black Tea, 12oz/340g",433.62,447.14,25,36
"Nilgiri Breakfast Black Tea, 12oz/340g",432.285,438.562,22,26
"Black Tea Sampler, 10 Teas",422.054,434.684,28,34
"2026 Giddapahar Premium Darjeeling First Flush Tea DJ FF BT/ 100g",417.33,449.82,11,18
"Himalayan Green Tea, 100 Count",399.19,427.75,19,25
"High Mountain Oolong Tea, 3.53oz/100g",398.373,407.077,32,47
"Classic Christmas Gift Set, 24 Variants, 120 Tea Bags",376.92,419.86,14,14
"Pure Mint Herbal Tea Tisane, 100 Count",372.13,418.37,21,23
"Darjeeling Premium First Flush Black Tea, 12oz/340g",355.57,369.81,13,19
"Bloom Tea Gift, Set of 12",339.55,358.84,14,15
"English Breakfast Black Tea, 100 Count",326.194,341.88,17,19
"Chai Teas Gift Sampler, 10 Teas",312.236,319.366,22,22
"Assam Exotic Second Flush Black Tea, 3.53oz/100g",298.122,335.841,21,28
"Earl Grey Black Tea, 100 Count",296.009,317.698,13,17
"World of Tea Gift Sampler, 20 Teas",291.12,313.83,12,17
"Gift Kit with Wooden Scoop, Stainless Steel Straw & Complimentary Tea Bags",286.5,133530,8591,8599
"Cardamom Masala Chai Tea, 100 Count",262.81,272.21,18,19
"Insulated Stainless Steel Tumbler",259.24,142011.49,6253,6256
"Imperial Himalayan White Tea, 1.76oz/50g",257.289,260.739,19,27
"Himalayan Green Tea, 3.53oz/100g",238.186,256.492,22,27
"Turmeric Ginger Latte, Golden Milk Powder, 100g",235.156,239.566,19,22
"2026 Arya Diamond Darjeeling First Flush Black Tea DJ FF BT/ 50g",227.96,279.93,6,7
"2026 Jungpana Premium Darjeeling First Flush Black Tea DJ FF BT/ 100g",217.41,249.9,8,10
"Ginger Mint Green Tea, 100 Count",216.736,226.106,10,12
"Christmas Breakfast Tea Gift, Set of 9",216.54,227.37,10,13
"Mint Melody Green Tea, 100 Count",208.48,216.38,11,12
"Turmeric Spiced Herbal Tea Tisane, 7.06oz/200g",206.66,209.85,12,15
"Earl Grey Black Tea, 12oz/340g",200.79,207.85,15,19
"Gift Mug for Boyfriend",190,824.67,27,27
"Assorted Tea Loose Leaf Sampler, 10 Variants",188.06,210.86,13,13
"Turmeric Ashwagandha Latte, Golden Milk Powder, 100g",187.819,199.528,12,17
"Jasmine Green Tea, 100 Count",185.51,194.9,10,10
"2025 Margaret's Hope Premium Darjeeling Second Flush Black Tea DJ 331/2025",183.5,220.87,4,13
"Green Tea Loose Leaf Sampler, 10 Teas",182.14,188.87,13,13
"Daily Wellness Tea Bundle- 100 Bags Each",170.94,179.94,6,6
"Assorted Tea Bags Sampler, (40 Pyramid Tea Bags) 20 Flavors",168.93,170.88,9,12
"Turmeric Matcha Green Tea Powder, 3.53oz/100g",157.01,161.81,18,19
"Chamomile Mint Citrus Green Tea, 7.06oz/200g",155.1,169.9,10,10
"Assam Gold Second Flush Black Tea, 3.53 oz",154.97,159.86,11,14
"Green Tea Assortment, Gift Set, 36 Teas",149.964,173.644,11,12
"Special Christmas Gift Set, 24 Teas",132.73,134.97,3,3
"Ginger Masala Chai Tea, 7.06oz/200g",132.11,136.898,8,9
"Daily Assam Black Tea, 3.53 oz",130.853,144.028,6,9
"Vanilla Spiced Masala Chai Tea, 3.52 oz/100g",127.955,145.935,4,8
"Drift Gift Mug for Best Friend",123.5,679.48,48,48
"Kashmiri Kahwa Masala Chai Green Tea, 3.53 oz",120.287,202.166,12,14
"30 Servings of Ceremonial Matcha",111.99,324.78,19,19
"Glow Tea Gift, Set of 6",108.94,112.93,7,7
"2025 Margaret's Hope Premium Darjeeling First Flush Black Tea DJ 42",107.956,128.042,3,6
"Ashwagandha Coffee (Pack of 3)",107.556,119.4,2,2
"FREE GIFTS worth £105 on your first 4 Renewals",105,825875,7887,7888
"High Mountain Oolong Tea, 100 Count",104.92,116.14,5,6
"Silver Needle Sparkle White Tea, 1.76oz/50g",103.916,107.551,7,7
"Advent Calendar, 500g & Accessories Trio",99.98,99.98,1,1
"2025 Castleton Moonlight Darjeeling Second Flush Black Tea DJ 373",83.97,83.97,3,3
"Classic Chamomile Herbal Tea Tisane, 100 Count",82.4,84.95,5,5
"Ashwagandha Coffee Old 11 Dec 2025",79.98,79.98,2,2
"Weekend in Taj Mahal, Tea Gift, Set of 8",78.86,89.94,6,6
"Earl Grey Citrus Black Tea, 340 gm",75.493,84.936,3,4
"Weekend in Paris, Tea Gift, Set of 9",72.32,75.45,5,5
"Assorted Chai Teas Sampler, 5 Variants",70.66,80.91,7,9
"2025 Jungpana Muscatel Darjeeling Second Flush Black Tea DJ 120",70.527,84.997,2,5
"Turmeric Ashwagandha Herbal Tea Bags Caffeine Free, 30 Count",67.8,76.89,9,10
