"Customer cohort quarter","Quarters since first purchase","Orders","Net sales","Customers"
"2014-01-01",42,1,83.912,1
"2014-01-01",45,1,29.696,1
"2014-04-01",37,1,4.978,1
"2014-04-01",48,1,5.99,1
"2014-10-01",36,1,93.206,1
"2015-01-01",35,2,110.519,2
"2015-01-01",36,1,40.111,1
"2015-01-01",37,1,71.333,1
"2015-01-01",38,1,108.009,1
"2015-01-01",40,1,62.019,1
"2015-01-01",41,1,63.013,1
"2015-01-01",42,1,139.827,1
"2015-04-01",37,1,124.087,1
"2015-10-01",33,1,177.645,1
"2015-10-01",40,3,27.38,2
"2015-10-01",41,1,0,1
"2016-01-01",30,1,25.97,1
"2016-01-01",33,1,49.83,1
"2016-01-01",34,1,82.72,1
"2016-01-01",35,1,76.134,1
"2016-04-01",29,1,13.99,1
"2016-04-01",30,1,14.99,1
"2016-04-01",40,1,12.99,1
"2016-10-01",32,1,79.229,1
"2016-10-01",35,1,58.374,1
"2017-01-01",30,1,76.829,1
"2017-04-01",36,1,89.97,1
"2017-07-01",24,1,19.99,1
"2017-07-01",25,2,176.88,2
"2017-07-01",26,1,127.387,1
"2017-07-01",27,1,144.78,1
"2017-07-01",28,3,224.665,3
"2017-07-01",29,2,392.723,2
"2017-07-01",33,1,63.61,1
"2018-01-01",22,1,56.08,1
"2018-01-01",23,2,120.94,2
"2018-01-01",24,1,46.939,1
"2018-01-01",25,2,65.579,1
"2018-01-01",26,1,56.736,1
"2018-01-01",27,1,82.443,1
"2018-01-01",28,1,74.821,1
"2018-01-01",29,2,110.141,2
"2018-01-01",32,1,77.45,1
"2018-01-01",33,2,74.93,2
"2018-04-01",22,1,59.47,1
"2018-04-01",23,1,27.081,1
"2018-04-01",24,1,79.604,1
"2018-04-01",25,1,63.873,1
"2018-04-01",26,1,46.888,1
"2018-04-01",32,1,76.48,1
"2018-04-01",33,1,49.98,1
"2018-07-01",20,1,49.47,1
"2018-10-01",24,1,155.2,1
"2018-10-01",26,1,61.033,1
"2018-10-01",28,1,44.47,1
"2019-01-01",27,2,150.23,1
"2019-01-01",28,2,108.62,1
"2019-04-01",17,1,65.57,1
"2019-07-01",16,1,57.98,1
"2019-07-01",17,1,24.99,1
"2019-07-01",22,1,19.066,1
"2019-10-01",15,2,120.94,2
"2019-10-01",16,1,47.96,1
"2019-10-01",18,1,52.744,1
"2019-10-01",21,1,65.846,1
"2019-10-01",23,1,62.913,1
"2019-10-01",24,1,45.47,1
"2020-04-01",23,1,55.62,1
"2020-07-01",12,2,74.96,2
"2020-07-01",14,2,36.777,2
"2020-07-01",15,1,45.037,1
"2020-07-01",16,1,37.051,1
"2020-07-01",17,2,95.49,2
"2020-07-01",18,1,81.976,1
"2020-07-01",19,1,65.574,1
"2020-07-01",20,1,39.004,1
"2020-10-01",11,2,125.43,2
"2020-10-01",12,2,83.84,2
"2020-10-01",13,2,145.008,2
"2020-10-01",15,1,57.858,1
"2020-10-01",16,2,107.466,2
"2020-10-01",17,1,87.018,1
"2020-10-01",18,1,79.872,1
"2020-10-01",19,3,181.035,3
"2020-10-01",20,2,67.97,2
"2020-10-01",22,2,86.93,2
"2021-01-01",10,7,605.96,7
"2021-01-01",11,8,732.44,6
"2021-01-01",12,3,334.813,3
"2021-01-01",13,3,254.804,3
"2021-01-01",14,3,357.221,2
"2021-01-01",15,3,367.206,2
"2021-01-01",16,4,479.806,3
"2021-01-01",17,1,52.788,1
"2021-01-01",18,2,214.831,2
"2021-01-01",19,10,460.91,7
"2021-01-01",20,9,336.06,4
"2021-01-01",21,12,366.28,9
"2021-04-01",9,5,341.47,5
"2021-04-01",10,3,127.91,3
"2021-04-01",11,3,140.936,3
"2021-04-01",12,1,79.332,1
"2021-04-01",13,1,34.236,1
"2021-04-01",14,2,51.358,2
"2021-04-01",15,3,225.874,3
"2021-04-01",16,2,80.873,2
"2021-04-01",18,4,235.48,4
"2021-04-01",19,1,64.96,1
"2021-04-01",20,3,86.26,2
"2021-04-01",21,1,69.94,1
"2021-07-01",8,3,66.45,1
"2021-07-01",9,3,123.34,2
"2021-07-01",10,3,268.163,3
"2021-07-01",12,1,20.198,1
"2021-07-01",13,1,105.106,1
"2021-07-01",14,1,20.071,1
"2021-07-01",15,1,92.003,1
"2021-07-01",18,3,122.13,3
"2021-07-01",19,2,85.42,2
"2021-07-01",20,1,73.19,1
"2021-10-01",7,3,202.175,3
"2021-10-01",8,10,585.691,8
"2021-10-01",9,2,168.625,2
"2021-10-01",10,6,498.979,5
"2021-10-01",11,1,151.849,1
"2021-10-01",12,4,231.985,3
"2021-10-01",13,4,172.526,4
"2021-10-01",14,2,184.648,1
"2021-10-01",16,5,281.19,5
"2021-10-01",17,7,229.93,2
"2021-10-01",18,4,119.96,2
"2022-01-01",6,9,354.314,9
"2022-01-01",7,7,291.319,4
"2022-01-01",8,3,189.031,3
"2022-01-01",9,6,383.38,5
"2022-01-01",10,1,89.146,1
"2022-01-01",11,6,421.854,6
"2022-01-01",12,2,120.149,2
"2022-01-01",13,3,220.081,3
"2022-01-01",14,1,202.281,1
"2022-01-01",16,3,181.5,3
"2022-01-01",17,5,150.43,4
"2022-04-01",5,8,389.225,7
"2022-04-01",6,8,498.83,5
"2022-04-01",7,2,56.677,2
"2022-04-01",8,2,36.244,1
"2022-04-01",9,1,19.934,1
"2022-04-01",10,4,119.658,2
"2022-04-01",11,5,173.179,4
"2022-04-01",12,3,59.098,2
"2022-04-01",13,3,65.09,2
"2022-04-01",14,2,67.05,2
"2022-04-01",15,2,33.23,2
"2022-04-01",16,2,71.45,2
"2022-04-01",17,1,33.98,1
"2022-07-01",3,0,-8.99,0
"2022-07-01",4,2,110.74,2
"2022-07-01",5,7,331.84,4
"2022-07-01",6,4,244.012,2
"2022-07-01",7,2,158.714,2
"2022-07-01",9,1,38.669,1
"2022-07-01",11,1,75.309,1
"2022-07-01",12,1,59.746,1
"2022-07-01",13,2,84.64,2
"2022-10-01",3,2,114.35,2
"2022-10-01",4,10,556.762,9
"2022-10-01",5,3,88.479,3
"2022-10-01",6,3,206.072,3
"2022-10-01",7,1,103.87,1
"2022-10-01",8,3,240.375,2
"2022-10-01",9,2,48.41,2
"2022-10-01",12,4,144.96,2
"2022-10-01",13,2,101.96,2
