"Month","New customers","Orders (first-time)","Total sales (first-time)"
"2024-07-01",139,139,6780.87
"2024-08-01",251,251,12445.55
"2024-09-01",341,341,18490.69
"2024-10-01",459,459,28794.5
"2024-11-01",1458,1458,95045.74
"2024-12-01",1381,1381,71481.61
"2025-01-01",548,548,27588.49
"2025-02-01",454,454,22837.02
"2025-03-01",409,409,21666.55
"2025-04-01",358,358,19454.38
"2025-05-01",324,324,18123.34
"2025-06-01",442,442,27035.54
"2025-07-01",541,541,33571.39
"2025-08-01",464,464,30019.88
"2025-09-01",464,464,29401.29
"2025-10-01",617,617,35207.05
"2025-11-01",1230,1230,75014.09
"2025-12-01",1454,1454,77852.59
"2026-01-01",644,644,28119
"2026-02-01",520,520,24750.91
"2026-03-01",770,770,34297
"2026-04-01",1146,1146,47154.68
"2026-05-01",1052,1052,42850.32
"2026-06-01",816,816,32093.83
"2026-07-01",143,143,6275.51
