"Customer cohort quarter","Quarters since first purchase","Customers","Orders","Net sales"
"2013-10-01",41,1,1,24.98
"2013-10-01",42,1,1,60.71
"2013-10-01",43,1,2,35.98
"2013-10-01",46,1,1,83.78
"2013-10-01",48,1,1,39.98
"2014-01-01",40,1,1,104.93
"2014-01-01",41,2,2,270.96
"2014-01-01",42,1,1,63.17
"2014-01-01",43,2,2,691.95
"2014-01-01",44,2,2,155.91
"2014-01-01",46,1,1,267.88
"2014-01-01",47,1,1,69.28
"2014-01-01",49,3,3,449.57
"2014-04-01",40,1,1,42.97
"2014-04-01",41,1,1,83.16
"2014-04-01",44,1,1,82.96
"2014-04-01",46,1,1,84.16
"2014-07-01",38,1,1,104.12
"2014-07-01",41,2,2,223.89
"2014-07-01",42,2,2,161.94
"2014-07-01",43,2,3,198.54
"2014-07-01",44,2,3,243.2
"2014-07-01",45,1,1,92.55
"2014-07-01",46,1,1,43.97
"2014-07-01",47,2,2,139.44
"2014-10-01",37,1,1,53.96
"2014-10-01",38,1,1,93.98
"2014-10-01",39,1,1,39.98
"2014-10-01",42,1,1,125.94
"2014-10-01",44,1,1,149.93
"2015-01-01",36,2,3,165.56
"2015-01-01",37,1,1,144.75
"2015-01-01",38,1,1,81.96
"2015-01-01",39,3,4,257.61
"2015-01-01",40,1,1,71.06
"2015-01-01",42,2,3,348.85
"2015-01-01",43,2,3,195.4
"2015-01-01",44,1,2,145.93
"2015-01-01",45,1,1,20.99
"2015-04-01",36,2,2,181.66
"2015-04-01",37,3,3,154.22
"2015-04-01",38,1,1,49.98
"2015-04-01",39,2,2,212.56
"2015-04-01",40,1,1,104.96
"2015-04-01",41,1,1,75.57
"2015-04-01",42,2,2,42.97
"2015-04-01",43,1,1,108.45
"2015-04-01",44,2,2,98.95
"2015-07-01",34,5,8,389.94
"2015-07-01",35,4,6,212.1
"2015-07-01",36,5,5,317.58
"2015-07-01",37,4,4,256.46
"2015-07-01",38,3,4,298.95
"2015-07-01",39,4,4,172.93
"2015-07-01",40,4,4,299.32
"2015-07-01",41,2,3,213.49
"2015-07-01",42,2,2,71.46
"2015-07-01",43,1,1,103.96
"2015-10-01",33,4,4,239.64
