"Month","Returning customer rate","Returning customers","New customers"
"2025-07-01",0.5294117647058824,396,355
"2025-08-01",0.5617647058823529,573,464
"2025-09-01",0.5574092247301276,568,464
"2025-10-01",0.4889267461669506,574,617
"2025-11-01",0.5646711012564671,1528,1230
"2025-12-01",0.40663029794376837,969,1454
"2026-01-01",0.5399408284023669,730,644
"2026-02-01",0.5537918871252204,628,520
"2026-03-01",0.5314861460957179,844,770
"2026-04-01",0.45695045695045694,950,1146
"2026-05-01",0.540734109221128,1208,1052
"2026-06-01",0.5869676757311442,1144,816
"2026-07-01",0.6689814814814815,289,143
