"Product type","Net sales","Orders","Quantity ordered"
"Coffee",157891.75,3529,3610
"Black Teas | Loose Leaf",104873.12,2829,5397
"Chai Teas | Loose Leaf",102275.56,2980,6895
"Herbal Teas | Tea Bags",86094.29,2858,4687
"Gifts | Christmas",81760.8,1355,1630
"Herbal Supplement",51186.45,1770,1847
"Single Estate",48618.62,911,1974
"Tea & Infusions",41139.91,687,704
"Chai Teas | Tea Bags",35038.15,1335,1911
"Gifts | Private Reserve",35001.56,730,1014
"Green Teas | Loose Leaf",32010.25,1101,1764
"Gifts | Tea Bags",29554.83,1068,1775
"Green Teas | Tea Bags",26753.3,1005,1393
"Herbal Teas | Loose leaf",22439.86,1059,1703
"Black Teas | Tea Bags",22391.35,796,1161
"Gifts | Classic",19433.99,573,803
"Loose Leaf | Samplers",17040.61,646,803
"Tea Bags | Samplers",16087.94,1057,1460
"Gifts | Carnival",15707.25,387,497
"Gifts | Travel",14266.63,439,582
,8851.44,1710,3249
"Oolong Teas | Loose leaf",8813.72,373,563
"White Teas | Loose leaf",8506.99,277,525
"Herbs & Spices",7504.43,672,1301
"Black Teas | Loose leaf",7282.06,458,598
"Instant | Lattes",6531.35,336,548
"Instant | Matcha",6163.63,334,541
"Accessories | Stainless Steel",5199.06,1400,1494
"Accessories | Glass",4654.36,810,855
"Gifts | Occasion",3474.85,154,197
"Virtual Bundles",3186.21,57,59
"Oolong Teas | Tea Bags",2655.76,123,148
"White Teas | Tea Bags",2123.33,86,192
"Iced Teas | Tea Bags",1594.62,78,104
"Accessories | Insulated",1162.02,312,333
"Instant | K Cups",71.96,3,4
"Free Gift | ITD",4.99,37,38
"Accessories",1.99,38,143
"Gift Cards",0,0,5
