"Product title","Net sales","Quantity ordered","Orders"
"Ashwagandha Coffee",115600.15,2599,2527
"Advent Calendar Tea Bags Gift Set, 120 Teas",40285.54,686,600
"Ashwagandha 1800 mg Capsules with KSM-66®",33118.91,1189,1179
"India's Original Masala Chai Tea, 12 oz",31108.79,1464,966
"Classic Advent Calendar, Gift Set, 24 Teas",29460.27,476,447
"Ashwagandha Coffee Refill (1)",28209.3,809,801
"Signature Private Reserve Gift Set, 24 Teas",26487.81,614,500
"Turmeric Ginger Herbal Tea Tisane, 100 Count",22389.67,1195,907
"Double Spice Masala Chai Tea, 3.53 oz",22315.29,1557,854
"Daily Assam Black Tea, 12 oz",21140.57,1155,831
"English Breakfast Black Tea, 12 oz",19862.93,1086,774
"Himalayan Green Tea, 12 oz",15762.09,676,473
"Ashwagandha Coffee 3 Packs (2+1 Free Pack + 7 FREE Gifts worth $48 Additional)",15460.12,211,211
"India's Original Masala Chai Tea, 100 Count",14331.28,687,550
"Earl Grey Black Tea, 12 oz",14247.79,701,523
"Chai Tea Assortment Gift Set, 12 Teas",13736.55,440,343
"Ashwagandha Coffee (3+3 Packs with 7 Free Gifts worth $48 Included)",13428.8,117,117
"Ashwagandha Coffee (1 Pack)",12678.15,335,324
"Daily Darjeeling Second Flush Black Tea, 12 oz",12512.02,582,443
"Turmeric Ashwagandha Herbal Tea Tisane, 100 Count",12085.91,592,505
"Turmeric Curcumin 2000mg with Boswellia & Piperine",11410.29,439,435
"Bloom, Tea Gift Set, 12 Teas",9767.37,245,213
"Organic Himalayan Green Tea, 100 Count",9566.56,514,378
"Cardamom Masala Chai Tea, 3.53 oz",9039.73,694,427
"Herbal Tea Assortment, Gift Set, 36 Teas",8944.56,498,308
"Chai Tea Private Reserve Gift Set, 3 Teas",8513.75,400,250
"Ashwagandha Coffee (Pack of 2)",8310.76,161,161
"Blush, Tea Gift Set, 3 Teas",8037.7,493,313
"Sweet Cinnamon Masala Chai Tea, 3.53 oz",7978.18,660,424
"Turmeric Ginger Herbal Tea Tisane, 3.53 oz",7920.91,546,402
"Vanilla Spiced Masala Chai Tea, 3.53 oz",7550.28,626,459
"Turmeric Spiced Herbal Tea Tisane, 100 Count",7388.5,364,313
"Hibiscus Rose Herbal Tea Tisane, 100 Count",7164.29,315,287
"Ginger Masala Chai Tea, 3.53 oz",6989.68,486,306
"Founder's Select Gift Set, 36 Teas",6645.78,463,327
"Chai Tea Assortment, Gift Set, 36 Teas",6493,348,289
"Cardamom Masala Chai Tea, 100 Count",6440.32,297,243
"Turmeric Moringa Herbal Tea Tisane, 100 Count",6431.73,321,272
"Assam Gold Second Flush Black Tea, 3.53 oz",6331.3,303,221
"India's Original Masala Chai Tea, 3.53 oz",5782.06,539,408
"Weekend in Paris, Gift Set, 9 Teas",5703.16,234,214
"Applause CTC Assam Summer Black Tea, 340gm /12oz",5609.68,328,200
"Pure Mint Herbal Tea Tisane, 100 Count",5571.02,279,249
"Classic Chamomile Herbal Tea Tisane, 100 Count",5492.49,258,229
"English Breakfast Black Tea, 100 Count",5463.75,289,225
"Ashwagandha Coffee (80 Servings)",5381.47,81,81
"Weekend in Taj Mahal, Gift Set, 8 Teas",5353.23,216,156
"Darjeeling Premium First Flush Black Tea, 12 oz",5005.94,161,113
"Unitea - Blend of Darjeeling & Assam Black Tea, 12 oz",4862.92,244,193
"Ashwagandha Coffee 6 Packs (3+3 Free Packs + 7 FREE Gifts worth $48 Additional)",4827.82,58,58
"Assam Exotic Second Flush Black Tea, 3.53 oz",4482.1,368,281
"Foldable Advent Calendar Tea Gift, 24 Teas, 1.69 Oz, 48g",4264,253,183
"Assorted Chai Teas Sampler, 5 Variants",4228.07,358,305
"Himalayan Gold Black Tea, 3.53 oz",4192.2,198,132
"Vanilla Spiced Masala Chai Tea, 100 Count",4108.12,200,157
"Blooming Rose Black Tea, 3.53 oz",4060.4,256,202
"Sweet Cinnamon Masala Chai Tea, 30 Count",4035.62,299,267
"Green Tea Assortment, Gift Set, 36 Teas",4026.7,231,179
"Darjeeling Summer Black Tea, 100 Count",3942.99,197,154
"Imperial Loose Leaf Tea Maker with Infuser",3926.56,168,152
"Earl Grey Black Tea, 100 Count",3897.81,205,184
"Darjeeling Spring Black Tea, 100 Count",3889.53,145,109
"2025 Giddapahar Classic Darjeeling Second Flush Black Tea DJ 74",3833.65,134,113
"Assorted Selection Tea Sampler, 15 Variants",3719.18,448,359
"2025 Margaret's Hope Premium Darjeeling Second Flush Black Tea  DJ 331",3647.92,198,137
"Chocolate Vanilla Herbal Tea Tisane, 3.53 oz",3623.2,241,179
"Darjeeling Muscatel Imperial Black Tea, 3.53 oz",3609.9,224,153
"Turmeric Ginger Latte Mix, 3.53 oz",3592.74,304,186
"24 Spices of Christmas Advent Calendar",3567.2,43,40
"Himalayan Pearls Green Tea, 3.53 oz",3512.51,257,201
"Lopchu Golden Orange Pekoe Darjeeling Second Flush Black Tea, 3.53 Oz",3462.48,214,148
"Nilgiri Breakfast Black Tea, 12 oz",3437.47,159,149
"Foldable Advent Calendar Tea Gift, 24 Loose Leaf Teas, 1.69 Oz, 48g",3420.59,193,151
"Chai Tea Loose Leaf Gift Sampler, 10 Teas",3382.95,177,168
"Pure Matcha Green Tea Powder, Culinary Grade, 3.53 oz",3301.98,224,159
"Black Tea Loose Leaf Sampler, 10 Teas",3301.09,182,171
"Ashwagandha Coffee (240 Servings)",3287.71,28,27
"Citrus Ginger Herbal Tea Tisane, 3.53 oz",3239.97,266,224
"Assam Exotic Black Tea, 100 Count",3226.3,169,138
"2026 Arya Diamond Darjeeling First Flush Black Tea DJ FF BT/ 50g",3213.25,83,61
"Vedic Kadha Herbal Tea Tisane, 100 Count",3192.73,164,152
"2025 Castleton Classic Darjeeling Second Flush Black Tea DJ 354",3178.21,168,126
"Jasmine Green Tea, 100 Count",3145.23,121,119
"2026 Jungpana Premium Darjeeling First Flush Black Tea DJ FF BT/ 100g",3127.98,108,73
"Lemon Ginger Green Tea, 100 Count",3059.35,136,125
"Imperial Himalayan White Tea, 1.76 oz",3055.87,253,167
"Assorted Black Teas Sampler, 5 Variants",3052.85,313,255
"Earl Grey Citrus Green Tea, 3.53 oz",3051,201,153
"Chamomile Mint Citrus Green Tea, 3.53 oz",3048.7,179,144
"Saffron Premium Masala Chai Tea, 3.53 oz",2983.5,208,181
"High Mountain Oolong Tea, 12 oz",2971.19,126,109
"Christmas Breakfast Gift Set, 9 Teas",2946.9,96,82
"Turmeric Ashwagandha Instant Mix, 3.53 oz",2938.61,244,185
"Maharani Chai Spiced Oolong Tea, 3.53 oz",2936.97,232,125
"Classic Tea Sampler, Gift Set, 24 Teas",2898.4,196,124
"Turmeric Spiced Herbal Tea Tisane, 3.53 oz",2858.39,224,166
"Kashmiri Kahwa Masala Chai Green Tea, 3.53 oz",2848.28,220,183
"Turmeric Chamomile Herbal Tea, 100 Count",2838.32,136,116
"Assorted Tea Bags Sampler, (40 Pyramid Tea Bags) 20 Flavors",2817.2,145,130
"Herbal Tea Variety Pack, 36 Infusion Bags",2810.73,191,159
"Darjeeling Premium First Flush Black Tea, 3.53 oz",2799.96,230,197
"Earl Grey Masala Chai Tea, 3.53 oz",2742.8,209,169
"Turmeric Spiced Herbal Tea Tisane, 30 Count",2693.42,231,193
"2025 Okayti Classic Darjeeling Second Flush Black Tea DJ 73",2663.57,166,129
"Butterfly Pea Flower Tea Herbal Tea Tisane, 1.76 oz",2622.33,300,212
"Sweet Cinnamon Masala Chai Tea, 100 Count",2594.22,129,111
"Ginger Mint Green Tea, 100 Count",2586,129,125
"2025 Jungpana Muscatel Darjeeling Second Flush Black Tea DJ 120",2570.09,138,115
"Mint Melody Green Tea, 3.53 oz",2552.33,152,116
"Weekend in London, Gift Set, 9 Teas",2496.79,107,91
"Ginger Mint Green Tea, 3.53 oz",2416.26,166,114
"Perfect Serve Spoon",2374.6,351,329
"Imperial Earl Grey White Tea, 1.76 oz",2360.69,112,58
"Vanilla Matcha Green Tea Powder, 3.53 oz",2242.34,247,164
"Turmeric Saffron Herbal Tea Tisane, 3.53 oz",2175.06,126,107
"Chamomile Mint Citrus Green Tea, 100 Count",2156.43,87,74
"2025 Castleton Moonlight Darjeeling Second Flush Black Tea DJ 373",2134.64,81,62
"Imperial Himalayan White Tea Bags, 15 Count",2123.33,192,86
"Silver Needle Sparkle White Tea, 1.76 oz",2108.14,99,74
"World of Tea Gift Sampler, 20 Teas",2097.58,69,64
"Green Tea Loose Leaf Sampler, 10 Teas",2079.94,103,99
"2025 Castleton Premium Darjeeling First Flush Black Tea DJ 42",2050.12,87,52
"Turmeric Tea Tales Gift Set, 6 Teas",1970.7,57,49
"Moringa 1100 mg High Strength Capsules",1965.42,70,69
"Vanilla Spiced Masala Chai Tea, 30 Count",1953.79,168,158
"2026 Giddapahar Premium Darjeeling First Flush Tea DJ FF BT/ 100g",1928.38,69,44
"Turmeric Ginger Herbal Tea Tisane, 30 Count",1901.29,174,138
"2025 Margaret's Hope Premium Darjeeling First Flush Black Tea DJ 42",1872.23,72,57
