"Product title","Quantity ordered","Net sales","Orders"
"Ashwagandha Coffee",2599,115600.15,2527
"Double Spice Masala Chai Tea, 3.53 oz",1557,22315.29,854
"Insulated Stainless Steel Tumbler",1534,22.5,1533
"Gift Kit with Wooden Scoop, Stainless Steel Straw & Complimentary Tea Bags",1499,63.9,1498
"India's Original Masala Chai Tea, 12 oz",1464,31108.79,966
"Turmeric Ginger Herbal Tea Tisane, 100 Count",1195,22389.67,907
"Ashwagandha 1800 mg Capsules with KSM-66®",1189,33118.91,1179
"Daily Assam Black Tea, 12 oz",1155,21140.57,831
"English Breakfast Black Tea, 12 oz",1086,19862.93,774
"Stainless Steel Classic Tea Infuser, 3.9 Inches",933,1006.95,916
"Ashwagandha Coffee Refill (1)",809,28209.3,801
"Earl Grey Black Tea, 12 oz",701,14247.79,523
"Cardamom Masala Chai Tea, 3.53 oz",694,9039.73,427
"India's Original Masala Chai Tea, 100 Count",687,14331.28,550
"Advent Calendar Tea Bags Gift Set, 120 Teas",686,40285.54,600
"Himalayan Green Tea, 12 oz",676,15762.09,473
"Sweet Cinnamon Masala Chai Tea, 3.53 oz",660,7978.18,424
"Shimmer, Borosilicate Double-Walled Teacup",655,310.86,651
"Vanilla Spiced Masala Chai Tea, 3.53 oz",626,7550.28,459
"Signature Private Reserve Gift Set, 24 Teas",614,26487.81,500
"Turmeric Ashwagandha Herbal Tea Tisane, 100 Count",592,12085.91,505
"Daily Darjeeling Second Flush Black Tea, 12 oz",582,12512.02,443
"Turmeric Ginger Herbal Tea Tisane, 3.53 oz",546,7920.91,402
"India's Original Masala Chai Tea, 3.53 oz",539,5782.06,408
"Organic Himalayan Green Tea, 100 Count",514,9566.56,378
"Herbal Tea Assortment, Gift Set, 36 Teas",498,8944.56,308
"Blush, Tea Gift Set, 3 Teas",493,8037.7,313
"Ginger Masala Chai Tea, 3.53 oz",486,6989.68,306
"Classic Advent Calendar, Gift Set, 24 Teas",476,29460.27,447
"Founder's Select Gift Set, 36 Teas",463,6645.78,327
"Assorted Selection Tea Sampler, 15 Variants",448,3719.18,359
"Chai Tea Assortment Gift Set, 12 Teas",440,13736.55,343
"Turmeric Curcumin 2000mg with Boswellia & Piperine",439,11410.29,435
