"Week","Orders","Total sales","Net sales","Average order value"
"2025-07-07",199,12516.57,11609.6,58.41
"2025-07-14",179,10799.11,9946.33,56.561
"2025-07-21",230,13700.1,12504.82,54.912
"2025-07-28",286,18843.77,17571.34,64.363
"2025-08-04",252,16747.69,15698.52,62.295
"2025-08-11",190,11221.48,10389.57,57.413
"2025-08-18",183,11209.07,10207.18,58.033
"2025-08-25",305,21148.34,19906,67.048
"2025-09-01",319,20475.06,18943.53,59.932
"2025-09-08",242,14634.34,13572.14,57.292
"2025-09-15",178,11273.13,10538.64,60.543
"2025-09-22",235,17285.06,16255.17,69.17
"2025-09-29",312,17056,15381.49,49.671
"2025-10-06",191,11898.09,11042.54,59.63
"2025-10-13",288,18994.6,17704.03,61.628
"2025-10-20",265,17188.47,16045.94,60.55
"2025-10-27",304,20141.35,18838.31,64.288
"2025-11-03",432,28638.99,26979.61,63.088
"2025-11-10",588,38230.35,35802.85,61.318
"2025-11-17",568,38278.64,36054.11,63.731
"2025-11-24",1223,81222.47,75851.32,62.082
"2025-12-01",876,52889.1,48407.99,55.376
"2025-12-08",617,32790.01,29415.64,48.465
"2025-12-15",529,29165.77,26436.55,50.186
"2025-12-22",320,18454.21,17047.49,54.218
"2025-12-29",390,20140.74,18196.26,47.767
"2026-01-05",321,16730.98,15264.54,48.792
"2026-01-12",296,14391.96,12934.5,44.776
"2026-01-19",237,11407.66,10083.59,44.11
"2026-01-26",363,17357.57,15474.97,43.098
"2026-02-02",288,14691.26,13195.47,46.714
"2026-02-09",246,13015.46,11861.97,48.692
"2026-02-16",287,16109.17,14861.7,51.936
"2026-02-23",360,19622.94,18189.21,51.022
"2026-03-02",368,20203.66,18670.62,50.667
"2026-03-09",344,17541.44,15975.89,46.679
"2026-03-16",324,17933.21,16556.66,51.276
"2026-03-23",433,20700.68,19044.65,44.315
"2026-03-30",536,26434.4,24536.03,46.011
"2026-04-06",580,25130.64,23317.61,40.788
"2026-04-13",438,21800.6,20392.31,47.642
"2026-04-20",450,21802.52,20225.3,45.381
"2026-04-27",529,24422.46,22776.14,43.813
"2026-05-04",576,25654.41,23886.95,41.819
"2026-05-11",463,19597.13,18180.41,40.131
"2026-05-18",454,19742.79,18359.96,41.718
"2026-05-25",590,26837.54,25329.28,43.285
"2026-06-01",540,23178.58,21809.17,42.753
"2026-06-08",464,20607.32,19340.66,42.506
"2026-06-15",398,16575.3,15434.25,40.718
"2026-06-22",461,20172.35,18843.08,41.891
"2026-06-29",432,18797.11,17500.52,44.148
"2026-07-06",141,5363.7,4956.58,35.798
